id,label
246791087,
246791088,
246791092,
246791251,
246791702,
246791703,
247044285,
247044289,
247044291,
247044314,
247044316,
247044317,
247044318,
247906863,
247906866,
247906871,
247909391,
247909392,
247910157,
247910834,
247911074,
248124151,
248124153,
249130310,
249133056,
249133059,
249133066,
249133074,
249133096,
249133097,
249137052,
249137054,
249137057,
249137068,
249137070,
249137071,
249141690,
249141693,
249442832,
249442864,
250092525,
250092563,
250092567,
250092574,
250092577,
250092606,
250092610,
250092612,
250092616,
250092618,
250092626,
250092630,
250092633,
250092635,
250092641,
250092644,
250092648,
250092651,
250092653,
250092656,
250092658,
250092661,
250092663,
250092665,
250135707,
250135709,
250135712,
250319303,
250325569,
250325570,
250327634,
250327635,
251308746,
251308749,
251308750,
251308751,
251308753,
251308754,
251308757,
251308760,
251308761,
251308762,
251308763,
251308766,
251308777,
251308780,
251309367,
251327033,
252410975,
252410976,
252410978,
252410979,
252410980,
252410981,
252410982,
252410984,
252414894,
252414895,
252414896,
252414897,
252414898,
252414900,
252414902,
252414904,
252414905,
252414907,
252414908,
252414909,
252414910,
252414911,
252414912,
252414914,
252414920,
252414922,
252414924,
252414925,
252414926,
252414927,
252414928,
252414930,
252414934,
252414935,
252414937,
252414938,
252414943,
252414944,
252414945,
252414946,
252414947,
252414950,
252414951,
252414953,
252414962,
252417183,
252417184,
252739808,
253395433,
253820167,
253820177,
253820182,
253820186,
253820187,
253820189,
253820192,
253820194,
253820196,
253820197,
253820199,
253820201,
253820202,
253820206,
253820207,
253820209,
253820212,
253820214,kindergarten
253820216,
253820221,
253820222,
253820240,
253820242,
253820243,
253820245,
253820246,
253820249,
253820282,
253820285,
253820287,
253820289,
253820290,
253820292,
253820293,
253820301,
253820310,
253820312,
253820317,
253820322,
253820325,
253820327,
253820328,
253820330,
253820337,
253820340,
253820348,
253820350,
253820355,
253820356,
253820360,
253820361,
253820369,
253926570,
254111415,
254111428,
254111445,
254111451,
254111461,
254488926,
254489003,
254489012,
254489029,
254489199,
254489204,
254489207,
254489211,
